0.15952,0.65199,0.92861
0.15872,0.65665,0.92984
0.15825,0.66130,0.93102
0.15813,0.66594,0.93214
0.15837,0.67056,0.93321
0.15897,0.67517,0.93424
0.15994,0.67977,0.93522
0.16128,0.68435,0.93616
0.16298,0.68892,0.93706
0.16505,0.69348,0.93792
0.16746,0.69802,0.93875
0.17022,0.70255,0.93954
0.17331,0.70707,0.94030
0.17671,0.71157,0.94103
0.18041,0.71606,0.94174
0.18439,0.72054,0.94242
0.18863,0.72500,0.94308
0.19311,0.72945,0.94373
0.19782,0.73389,0.94435
0.20274,0.73832,0.94496
0.20785,0.74273,0.94556
0.21314,0.74714,0.94615
0.21860,0.75153,0.94672
0.22421,0.75592,0.94729
0.22995,0.76029,0.94785
0.23581,0.76465,0.94841
0.24178,0.76901,0.94897
0.24784,0.77335,0.94952
0.25399,0.77769,0.95008
0.26021,0.78202,0.95065
0.26650,0.78634,0.95121
0.27284,0.79066,0.95179
0.27924,0.79497,0.95237
0.28572,0.79928,0.95293
0.29207,0.80359,0.95353
0.29832,0.80792,0.95416
0.30445,0.81226,0.95482
0.31048,0.81661,0.95552
0.31642,0.82097,0.95625
0.32226,0.82534,0.95701
0.32802,0.82972,0.95780
0.33369,0.83411,0.95862
0.33928,0.83852,0.95947
0.34480,0.84294,0.96035
0.35024,0.84738,0.96125
0.35561,0.85182,0.96219
0.36092,0.85629,0.96315
0.36616,0.86076,0.96414
0.37133,0.86525,0.96515
0.37645,0.86976,0.96619
0.38150,0.87427,0.96726
0.38650,0.87881,0.96836
0.39144,0.88336,0.96947
0.39632,0.88792,0.97060
0.40116,0.89251,0.97177
0.40594,0.89710,0.97295
0.41067,0.90172,0.97415
0.41535,0.90635,0.97538
0.41999,0.91100,0.97663
0.42457,0.91566,0.97789
0.42912,0.92035,0.97918
0.43361,0.92505,0.98048
0.43807,0.92977,0.98179
0.44247,0.93451,0.98312
0.44684,0.93926,0.98447
0.45117,0.94404,0.98583
0.45545,0.94884,0.98720
0.45969,0.95365,0.98857
0.46389,0.95849,0.98994
0.46801,0.96337,0.99120
